episode,step,instance_id,action,reward,lost_opportunities,penalties,bonuses,remaining_capacity
100,40,672,0,0.0,24,0,0,363.0
100,41,672,0,0.0,25,0,0,363.0
100,42,672,1,0.2847245133619268,25,0,0,319.0
100,43,672,1,0.3411415374463873,25,0,0,276.0
100,44,672,1,0.3556581986143187,25,0,0,178.0
100,45,672,1,0.3698449356647971,25,0,0,117.0
100,46,672,1,0.3771032662487628,25,0,0,53.0
100,47,672,1,0.3972286374133949,25,0,0,1.0
100,48,672,1,-0.1,25,1,0,1.0
100,49,672,0,0.1,25,1,1,1.0
125,0,861,0,0.0,1,0,0,1163.0
125,1,861,0,0.0,2,0,0,1163.0
125,2,861,0,0.0,3,0,0,1163.0
125,3,861,0,0.0,4,0,0,1163.0
125,4,861,1,0.028466175485599463,4,0,0,1149.0
125,5,861,0,0.0,5,0,0,1149.0
125,6,861,0,0.0,6,0,0,1149.0
125,7,861,1,0.049229738780977896,6,0,0,1132.0
125,8,861,0,0.0,7,0,0,1132.0
125,9,861,1,0.05626255860683188,7,0,0,1100.0
125,10,861,1,0.06028131279303416,7,0,0,1064.0
125,11,861,1,0.08372404554588078,7,0,0,1032.0
125,12,861,0,0.0,8,0,0,1032.0
125,13,861,1,0.09611520428667113,8,0,0,1003.0
125,14,861,1,0.13831212324179504,8,0,0,972.0
125,15,861,1,0.16979236436704623,8,0,0,927.0
125,16,861,0,0.0,9,0,0,927.0
125,17,861,0,0.0,10,0,0,927.0
125,18,861,0,0.0,11,0,0,927.0
125,19,861,0,0.0,12,0,0,927.0
125,20,861,0,0.0,13,0,0,927.0
125,21,861,1,0.1667782987273945,13,0,0,848.0
125,22,861,0,0.0,14,0,0,848.0
125,23,861,1,0.20060281312793035,14,0,0,750.0
125,24,861,0,0.0,15,0,0,750.0
125,25,861,0,0.0,16,0,0,750.0
125,26,861,1,0.19256530475552577,16,0,0,723.0
125,27,861,1,0.23275284661754855,16,0,0,656.0
125,28,861,1,0.20629604822505024,16,0,0,594.0
125,29,861,1,0.21634293369055593,16,0,0,538.0
125,30,861,1,0.2407903549899531,16,0,0,488.0
125,31,861,0,0.0,17,0,0,488.0
125,32,861,1,0.1885465505693235,17,0,0,438.0
125,33,861,1,0.31848626925653045,17,0,0,355.0
125,34,861,1,0.2910247823174816,17,0,0,315.0
125,35,861,1,0.2669122572002679,17,0,0,283.0
125,36,861,1,0.34527796383121234,17,0,0,199.0
125,37,861,0,0.0,18,0,0,199.0
125,38,861,0,0.0,19,0,0,199.0
125,39,861,1,0.2960482250502344,19,0,0,113.0
125,40,861,0,0.0,20,0,0,113.0
125,41,861,0,0.0,21,0,0,113.0
125,42,861,0,0.0,22,0,0,113.0
125,43,861,1,0.40589417280643003,22,0,0,95.0
125,44,861,1,0.37474882786336233,22,0,0,37.0
125,45,861,0,0.1,22,0,1,37.0
125,46,861,1,-0.1,22,1,1,37.0
125,47,861,1,-0.1,22,2,1,37.0
125,48,861,1,-0.1,22,3,1,37.0
125,49,861,1,-0.1,22,4,1,37.0
150,0,203,1,0.0283203125,0,0,0,1289.0
150,1,203,1,0.032877604166666664,0,0,0,1283.0
150,2,203,0,0.0,1,0,0,1283.0
150,3,203,1,0.050130208333333336,1,0,0,1277.0
150,4,203,1,0.054361979166666664,1,0,0,1273.0
150,5,203,1,0.0576171875,1,0,0,1258.0
150,6,203,1,0.1357421875,1,0,0,1237.0
150,7,203,1,0.10677083333333333,1,0,0,1220.0
150,8,203,0,0.0,2,0,0,1220.0
150,9,203,1,0.13606770833333334,2,0,0,1211.0
150,10,203,0,0.0,3,0,0,1211.0
150,11,203,0,0.0,4,0,0,1211.0
150,12,203,0,0.0,5,0,0,1211.0
150,13,203,1,0.19140625,5,0,0,1166.0
150,14,203,0,0.0,6,0,0,1166.0
150,15,203,1,0.1884765625,6,0,0,1115.0
150,16,203,1,0.1513671875,6,0,0,1074.0
150,17,203,0,0.0,7,0,0,1074.0
150,18,203,0,0.0,8,0,0,1074.0
150,19,203,1,0.224609375,8,0,0,994.0
150,20,203,0,0.0,9,0,0,994.0
150,21,203,0,0.0,10,0,0,994.0
150,22,203,0,0.0,11,0,0,994.0
150,23,203,0,0.0,12,0,0,994.0
150,24,203,1,0.2669270833333333,12,0,0,975.0
150,25,203,0,0.0,13,0,0,975.0
150,26,203,1,0.236328125,13,0,0,876.0
150,27,203,0,0.0,14,0,0,876.0
150,28,203,1,0.2838541666666667,14,0,0,846.0
150,29,203,1,0.2841796875,14,0,0,760.0
150,30,203,0,0.0,15,0,0,760.0
150,31,203,1,0.2731119791666667,15,0,0,670.0
150,32,203,0,0.0,16,0,0,670.0
150,33,203,1,0.373046875,16,0,0,584.0
150,34,203,1,0.3092447916666667,16,0,0,519.0
150,35,203,0,0.0,17,0,0,519.0
150,36,203,0,0.0,18,0,0,519.0
150,37,203,0,0.0,19,0,0,519.0
150,38,203,0,0.0,20,0,0,519.0
150,39,203,0,0.0,21,0,0,519.0
150,40,203,0,0.0,22,0,0,519.0
150,41,203,1,0.2858072916666667,22,0,0,456.0
150,42,203,1,0.3238932291666667,22,0,0,418.0
150,43,203,1,0.3271484375,22,0,0,320.0
150,44,203,1,0.3909505208333333,22,0,0,249.0
150,45,203,0,0.0,23,0,0,249.0
150,46,203,1,0.4498697916666667,23,0,0,196.0
150,47,203,0,0.0,24,0,0,196.0
150,48,203,1,0.3792317708333333,24,0,0,98.0
150,49,203,1,0.4222005208333333,24,0,0,21.0
175,0,39,1,0.0302734375,0,0,0,1160.0
175,1,39,0,0.0,1,0,0,1160.0
175,2,39,1,0.004557291666666667,1,0,0,1159.0
175,3,39,0,0.0,2,0,0,1159.0
175,4,39,1,0.0146484375,2,0,0,1152.0
175,5,39,1,0.10546875,2,0,0,1130.0
175,6,39,1,0.07975260416666667,2,0,0,1104.0
175,7,39,1,0.11653645833333333,2,0,0,1093.0
175,8,39,1,0.10579427083333333,2,0,0,1061.0
175,9,39,0,0.0,3,0,0,1061.0
175,10,39,0,0.0,4,0,0,1061.0
175,11,39,1,0.07194010416666667,4,0,0,1043.0
175,12,39,0,0.0,5,0,0,1043.0
175,13,39,1,0.19108072916666666,5,0,0,1001.0
175,14,39,1,0.162109375,5,0,0,955.0
175,15,39,1,0.20638020833333334,5,0,0,913.0
175,16,39,0,0.0,6,0,0,913.0
175,17,39,1,0.21061197916666666,6,0,0,858.0
175,18,39,0,0.0,7,0,0,858.0
175,19,39,1,0.24479166666666666,7,0,0,807.0
175,20,39,1,0.24869791666666666,7,0,0,784.0
175,21,39,0,0.0,8,0,0,784.0
175,22,39,1,0.3108723958333333,8,0,0,739.0
175,23,39,0,0.0,9,0,0,739.0
175,24,39,0,0.0,10,0,0,739.0
175,25,39,0,0.0,11,0,0,739.0
175,26,39,0,0.0,12,0,0,739.0
175,27,39,1,0.2718098958333333,12,0,0,667.0
175,28,39,1,0.3216145833333333,12,0,0,582.0
175,29,39,0,0.0,13,0,0,582.0
175,30,39,1,0.3180338541666667,13,0,0,527.0
175,31,39,1,0.2825520833333333,13,0,0,454.0
175,32,39,0,0.0,14,0,0,454.0
175,33,39,0,0.0,15,0,0,454.0
175,34,39,0,0.0,16,0,0,454.0
175,35,39,1,0.3512369791666667,16,0,0,365.0
175,36,39,0,0.0,17,0,0,365.0
175,37,39,1,0.3723958333333333,17,0,0,272.0
175,38,39,0,0.0,18,0,0,272.0
175,39,39,0,0.0,19,0,0,272.0
175,40,39,1,0.359375,19,0,0,188.0
175,41,39,0,0.0,20,0,0,188.0
175,42,39,1,0.3929036458333333,20,0,0,138.0
175,43,39,0,0.0,21,0,0,138.0
175,44,39,0,0.0,22,0,0,138.0
175,45,39,0,0.0,23,0,0,138.0
175,46,39,0,0.0,24,0,0,138.0
175,47,39,1,0.3011067708333333,24,0,0,70.0
175,48,39,1,-0.1,24,1,0,70.0
175,49,39,0,0.1,24,1,1,70.0
200,0,416,0,0.0,1,0,0,1181.0
